city,match_id,method,neutralvenue,player_of_match,season,home_team,away_team,toss_decision,toss_winner,venue,winner,winner_runs,winner_wickets,match_date,is_league_match,has_super_over,toss_looser,bat1,bat2,toss_winner_is_winner,score1,score2,extras1,extras2,balls1,balls2,runrate1,runrate2
Bangalore,335982.csv,0,0,BB McCullum,2007/08,Royal Challengers Bangalore,Kolkata Knight Riders,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Kolkata Knight Riders,140,,2008-04-18,0,0,Kolkata Knight Riders,Kolkata Knight Riders,Royal Challengers Bangalore,0,222.0,82.0,19.0,17,124,101.0,11.1,5.3478260869565215
Delhi,335984.csv,0,0,MF Maharoof,2007/08,Delhi Daredevils,Rajasthan Royals,bat,Rajasthan Royals,Feroz Shah Kotla,Delhi Daredevils,,9,2008-04-19,0,0,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,0,129.0,132.0,10.0,7,122,97.0,6.45,8.703296703296703
Chandigarh,335983.csv,0,0,MEK Hussey,2007/08,Kings XI Punjab,Chennai Super Kings,bat,Chennai Super Kings,"""Punjab Cricket Association Stadiu",Chennai Super Kings,33,,2008-04-19,0,0,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,1,240.0,207.0,11.0,6,124,124.0,12.0,10.35
Mumbai,335985.csv,0,0,MV Boucher,2007/08,Mumbai Indians,Royal Challengers Bangalore,bat,Mumbai Indians,Wankhede Stadium,Royal Challengers Bangalore,,5,2008-04-20,0,0,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,0,165.0,166.0,5.0,11,123,123.0,8.25,8.369747899159664
Kolkata,335986.csv,0,0,DJ Hussey,2007/08,Kolkata Knight Riders,Deccan Chargers,bat,Deccan Chargers,Eden Gardens,Kolkata Knight Riders,,5,2008-04-20,0,0,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,0,110.0,112.0,28.0,10,118,122.0,5.892857142857143,5.894736842105263
Jaipur,335987.csv,0,0,SR Watson,2007/08,Rajasthan Royals,Kings XI Punjab,bat,Kings XI Punjab,Sawai Mansingh Stadium,Rajasthan Royals,,6,2008-04-21,0,0,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,0,166.0,168.0,12.0,4,122,119.0,8.231404958677686,9.247706422018348
Hyderabad,335988.csv,0,0,V Sehwag,2007/08,Deccan Chargers,Delhi Daredevils,bat,Deccan Chargers,"""Rajiv Gandhi International Stadiu",Delhi Daredevils,,9,2008-04-22,0,0,Delhi Daredevils,Deccan Chargers,Delhi Daredevils,0,142.0,143.0,12.0,5,122,83.0,7.041322314049586,10.860759493670885
Chennai,335989.csv,0,0,ML Hayden,2007/08,Chennai Super Kings,Mumbai Indians,field,Mumbai Indians,"""MA Chidambaram Stadiu",Chennai Super Kings,6,,2008-04-23,0,0,Chennai Super Kings,Chennai Super Kings,Mumbai Indians,0,208.0,202.0,13.0,18,127,128.0,10.4,10.016528925619834
Hyderabad,335990.csv,0,0,YK Pathan,2007/08,Deccan Chargers,Rajasthan Royals,field,Rajasthan Royals,"""Rajiv Gandhi International Stadiu",Rajasthan Royals,,3,2008-04-24,0,0,Deccan Chargers,Deccan Chargers,Rajasthan Royals,1,214.0,217.0,7.0,6,126,122.0,10.611570247933884,10.941176470588236
Chandigarh,335991.csv,0,0,KC Sangakkara,2007/08,Kings XI Punjab,Mumbai Indians,field,Mumbai Indians,"""Punjab Cricket Association Stadiu",Kings XI Punjab,66,,2008-04-25,0,0,Kings XI Punjab,Kings XI Punjab,Mumbai Indians,0,182.0,116.0,7.0,7,124,126.0,9.1,5.8
